variable_source,document_source,role_source,variable_candidate,document_candidate,role_candidate,relation_type,confidence,proposed_canonical_field,reason,question_to_human,recommendation_if_validated
lieu_signature,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-007;DOC-008;...(+35),signature / clôture,signature_lieu,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-007;DOC-008;...(+34),signature / clôture,SAME_FIELD,0.92,signature.lieu,Alias de lieu de signature observes sur templates/specs/code mapping.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
date_signature,DOC-001;DOC-002;DOC-003;DOC-005;DOC-006;DOC-007;DOC-008;DOC-009;...(+32),date / échéance,signature_date,DOC-001;DOC-002;DOC-003;DOC-005;DOC-006;DOC-007;DOC-008;DOC-009;...(+33),date / échéance,SAME_FIELD,0.92,signature.date,Alias de date de signature observes sur templates/specs/code mapping.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
denomination_societe,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-007;DOC-008;DOC-013;...(+29),identité / qualification personne,societe_denomination,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-007;DOC-008;...(+17),identité / qualification personne,SAME_FIELD,0.92,societe.denomination,Meme denomination de la societe dossier lorsque le role societe est le role principal.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
forme_sociale,DOC-003;DOC-004;DOC-005;DOC-006;DOC-016;DOC-017;DOC-018;DOC-019;...(+18),identité / qualification société,societe_forme_sociale,DOC-001;DOC-002;DOC-003;DOC-005;DOC-006;DOC-013;DOC-014,identité / qualification société,SAME_FIELD,0.92,societe.forme_sociale,Meme forme sociale de la societe dossier lorsque le role societe est le role principal.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
capital_social,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;...(+24),montant / capital / titres,societe_capital_social,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;...(+11),montant / capital / titres,SAME_FIELD,0.92,societe.capital_social,Meme montant du capital social de la societe dossier lorsque le role societe est le role principal.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
capital_lettres,DOC-015;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021;DOC-025;...(+9),montant / capital / titres,societe_capital_social_lettres,DOC-015;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021,montant / capital / titres,SAME_FIELD,0.92,societe.capital_social_lettres,Version lettres du meme capital social principal.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
numero_rcs,DOC-026;DOC-027;DOC-028;DOC-030;DOC-031;DOC-032;DOC-033,identité / qualification société,societe_numero_rcs,DOC-026;DOC-027;DOC-028;DOC-030,identité / qualification société,SAME_FIELD,0.92,societe.rcs.numero,"Numero RCS de la societe dossier, hors roles acquereur/cedee/apportee.",,Rattacher au meme champ canonique en conservant le role/document quand il existe.
ville_rcs,DOC-003;DOC-004;DOC-007;DOC-008;DOC-019;DOC-020;DOC-021;DOC-023;...(+15),adresse / localisation,societe_ville_rcs,DOC-004;DOC-015;DOC-019;DOC-020;DOC-021;DOC-023;DOC-024;DOC-026;...(+3),adresse / localisation,SAME_FIELD,0.92,societe.rcs.ville,"Ville RCS de la societe dossier, hors roles acquereur/cedee/apportee.",,Rattacher au meme champ canonique en conservant le role/document quand il existe.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,societe_siege_adresse_affichee,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+9),adresse / localisation,SAME_FIELD,0.92,societe.siege.adresse_affichee,Adresse du siege sous forme affichee de la societe dossier.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
cp_siege,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-013;DOC-014;DOC-019;...(+13),adresse / localisation,societe_siege_cp,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-013;DOC-014;...(+5),adresse / localisation,SAME_FIELD,0.92,societe.siege.cp,Code postal du siege de la societe dossier.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
ville_siege,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-013;DOC-014;DOC-019;...(+13),adresse / localisation,societe_siege_ville,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-013;DOC-014;...(+5),adresse / localisation,SAME_FIELD,0.92,societe.siege.ville,Ville du siege de la societe dossier.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
num_voie_siege,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-019;DOC-020;DOC-021;...(+11),adresse / localisation,societe_siege_num_voie,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-019;DOC-020;...(+3),adresse / localisation,SAME_FIELD,0.92,societe.siege.num_voie,Numero de voie du siege de la societe dossier.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
voie_siege,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-019;DOC-020;DOC-021;...(+11),adresse / localisation,societe_siege_voie,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-019;DOC-020;...(+3),adresse / localisation,SAME_FIELD,0.92,societe.siege.voie,Voie du siege de la societe dossier.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
nombre_exemplaires_lettres,DOC-005;DOC-006;DOC-007;DOC-008;DOC-009;DOC-010;DOC-011;DOC-012;...(+17),montant / capital / titres,signature_nombre_exemplaires_lettres,DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021;DOC-031;DOC-032;...(+1),montant / capital / titres,SAME_FIELD,0.92,signature.nombre_exemplaires_lettres,"Nombre d exemplaires signe, version lettres.",,Rattacher au meme champ canonique en conservant le role/document quand il existe.
ordre_departemental,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,ordre_departement,DOC-013;DOC-014,identité / qualification personne,SAME_FIELD,0.92,ordre.departemental,Departement ou conseil ordinal de reference lorsque le role ordinal est le meme.,,Rattacher au meme champ canonique en conservant le role/document quand il existe.
numero_rpps,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,ordre_numero_rpps,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),identité / qualification personne,SAME_FIELD,0.92,personne.{role}.numero_rpps,"Numero RPPS d une personne professionnelle, role a conserver.",,Rattacher au meme champ canonique en conservant le role/document quand il existe.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,societe_siege_num_voie,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-019;DOC-020;...(+3),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.siege.adresse,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,societe_siege_voie,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-019;DOC-020;...(+3),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.siege.adresse,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
