doc_code,doc_label,document_family,source_file,raw_variable,normalized_variable_slug,probable_role,probable_entity,shape_type,source_origin,notes
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[civilite],civilite,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[cp_perso],cp_perso,adresse / localisation,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[date_naissance],date_naissance,date / échéance,à qualifier,date,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[date_signature],date_signature,date / échéance,signature,date,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[lieu_signature],lieu_signature,signature / clôture,signature,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[nationalite],nationalite,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[nom],nom,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[nom_mere],nom_mere,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[nom_pere],nom_pere,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[num_voie_perso],num_voie_perso,adresse / localisation,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[prenom],prenom,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.adresse.cp,signataire_adresse_cp,adresse / localisation,signataire,composite,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.adresse.num_voie,signataire_adresse_num_voie,adresse / localisation,signataire,composite,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.adresse.ville,signataire_adresse_ville,adresse / localisation,signataire,composite,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.adresse.voie,signataire_adresse_voie,adresse / localisation,signataire,composite,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.civilite_affichage,signataire_civilite_affichage,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.date_naissance,signataire_date_naissance,date / échéance,signataire,date,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.nationalite,signataire_nationalite,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.nom,signataire_nom,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.nom_mere,signataire_nom_mere,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.nom_pere,signataire_nom_pere,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signataire.prenom,signataire_prenom,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[signature],signature,signature / clôture,signature,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signature.date,signature_date,date / échéance,signature,date,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signature.image_optionnelle,signature_image_optionnelle,signature / clôture,signature,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,signature.lieu,signature_lieu,signature / clôture,signature,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[ville_perso],ville_perso,adresse / localisation,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/08_DICTIONNAIRE_VARIABLES_CANONIQUES_V1.md,[voie_perso],voie_perso,adresse / localisation,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
